City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,whitehorse,60.7161,-135.0538,-4.43,85,100,9.77,CA,1699919422
112,klyuchi,52.2667,79.1667,3.57,90,100,4.82,RU,1699919446
113,holualoa,19.6228,-155.9522,27.65,74,40,4.63,US,1699919294
114,nakhon phanom,17.3333,104.4167,21.82,78,48,2.34,TH,1699919448
115,cill airne,52.05,-9.5167,11.01,88,75,6.13,IE,1699919448
116,sittwe,20.15,92.9,24.35,86,100,2.43,MM,1699919449
117,qaqortoq,60.7167,-46.0333,-5.94,93,100,1.26,GL,1699919450
118,kapuskasing,49.4169,-82.4331,1.05,93,100,4.63,CA,1699919451
119,la passe,45.5549,-0.8967,16.13,94,100,7.21,FR,1699919451
120,bredasdorp,-34.5322,20.0403,14.94,81,4,6.58,ZA,1699919384
121,ribeira grande,38.5167,-28.7,15.99,91,100,1.79,PT,1699919453
122,fortuna,40.5982,-124.1573,15.52,83,100,0.89,US,1699919316
123,gamba,-2.65,10.0,25.42,87,44,2.46,GA,1699919455
124,utrik,11.2278,169.8474,28.14,81,96,8.05,MH,1699919457
125,st. john's,47.5649,-52.7093,0.54,80,100,4.12,CA,1699919390
126,rawson,-43.3002,-65.1023,17.31,28,100,13.21,AR,1699919393
127,bikenibeu village,1.3673,173.1241,28.18,79,95,8.42,KI,1699919434
128,pont rouge,48.8833,-72.0825,-3.84,91,16,2.22,CA,1699919460
129,cabo san lucas,22.8909,-109.9124,29.78,61,0,3.09,MX,1699919328
130,walcz,53.2779,16.4712,5.05,94,100,4.87,PL,1699919462
131,mbandaka,0.0487,18.2603,22.65,95,94,0.65,CD,1699919392
132,lagos,6.5833,3.75,28.18,92,37,1.16,NG,1699919405
133,metro,-5.1131,105.3067,27.16,77,59,1.74,ID,1699919465
134,vila velha,-20.3297,-40.2925,26.97,81,0,4.63,BR,1699919465
135,hajin,34.6927,40.827,22.41,26,89,4.39,SY,1699919467
136,filadelfia,39.9523,-75.1638,8.87,67,48,0.89,US,1699919398
137,road town,18.4167,-64.6167,28.02,74,40,5.14,VG,1699919470
138,douane,36.4477,10.7557,18.05,73,5,1.53,TN,1699919471
139,kuanda,56.3161,116.0806,-16.09,88,43,0.74,RU,1699919473
140,sosnovo-ozerskoye,52.5249,111.5418,-16.91,99,94,1.38,RU,1699919474
141,plettenberg bay,-34.0527,23.3716,14.11,87,47,4.28,ZA,1699919395
142,tuusula,60.4037,25.0264,0.42,83,40,4.02,FI,1699919477
143,balykshi,47.0667,51.8667,4.0,87,78,4.0,KZ,1699919478
144,yeniseysk,58.4497,92.1703,-0.59,98,100,2.24,RU,1699919480
145,montepuez,-13.1256,38.9997,21.42,90,87,1.91,MZ,1699919481
146,nuuk,64.1835,-51.7216,-5.07,85,90,6.71,GL,1699919366
147,pagar alam,-4.0167,103.2667,22.82,92,91,0.23,ID,1699919484
148,tervel,43.75,27.4,5.72,65,3,3.04,BG,1699919485
149,pacocha,-17.5833,-71.3333,18.48,84,45,1.37,PE,1699919487
150,sultandagi,38.5311,31.2281,11.51,82,100,2.89,TR,1699919488
151,kerikeri,-35.2268,173.9474,21.06,67,79,0.89,NZ,1699919390
152,chonchi,-42.6128,-73.8092,6.56,79,51,2.11,CL,1699919491
153,tres arroyos,-38.3739,-60.2798,14.63,37,84,5.66,AR,1699919492
154,chonglong,29.7806,104.8522,10.71,86,100,1.64,CN,1699919495
155,weno,7.4515,151.8468,29.97,79,100,3.09,FM,1699919496
156,yigo village,13.5361,144.8886,30.62,78,75,9.26,GU,1699919498
157,brokopondo,4.75,-55.1667,28.89,63,68,4.53,SR,1699919500
158,portel,-1.9356,-50.8211,27.72,51,82,1.65,BR,1699919502
159,taltal,-25.4,-70.4833,17.68,70,20,2.0,CL,1699919504
160,prosser,46.2068,-119.7689,13.62,69,96,0.51,US,1699919506
161,najran,17.4924,44.1277,17.36,51,18,0.97,SA,1699919507
162,majuro,7.0897,171.3803,28.98,89,100,5.14,MH,1699919508
163,island harbour,50.724,-1.2758,14.4,85,67,3.13,GB,1699919510
164,remire-montjoly,4.9167,-52.2667,26.02,89,0,0.51,GF,1699919511
165,isafjordur,66.0755,-23.124,1.77,86,91,3.29,IS,1699919512
166,selty,57.3132,52.1345,5.54,92,100,6.56,RU,1699919513
167,tolanaro,-25.0319,46.9987,23.04,83,40,2.06,MG,1699919514
168,rosarito,32.3333,-117.0333,24.02,56,95,1.84,MX,1699919105
169,rzeszow,50.0413,21.999,7.73,80,0,1.54,PL,1699919271
170,egilsstadir,65.2653,-14.3948,3.95,81,75,3.09,IS,1699919271
171,talnakh,69.4865,88.3972,-16.55,95,100,5.71,RU,1699919518
172,montereau-fault-yonne,48.3833,2.95,12.49,79,85,7.34,FR,1699919519
173,ojinaga,29.5667,-104.4167,17.53,77,0,4.63,MX,1699919519
174,mogadishu,2.0371,45.3438,27.58,77,95,3.03,SO,1699919520
175,sanctuary point,-35.1114,150.629,25.55,61,66,2.49,AU,1699919358
176,mumbwa,-14.9783,27.0619,22.53,50,78,1.94,ZM,1699919522
177,juan griego,11.0817,-63.9655,26.23,85,58,5.42,VE,1699919523
178,pyin oo lwin,22.0333,96.4667,16.31,93,62,1.35,MM,1699919525
179,i-n-salah,27.1935,2.4607,20.77,28,0,5.1,DZ,1699919386
180,kapa'a,22.0752,-159.319,29.99,81,75,8.23,US,1699919527
181,alo,7.4178,6.7371,26.8,78,100,1.12,NG,1699919528
182,benghazi,32.1167,20.0667,21.71,65,6,5.95,LY,1699919530
183,shuangcheng,45.35,126.2833,-13.18,95,42,3.05,CN,1699919303
184,guayaramerin,-10.8368,-65.3614,29.14,55,92,1.18,BO,1699919532
185,keelung,25.1283,121.7419,21.7,82,100,4.88,TW,1699919533
186,nemuro,43.3236,145.575,4.38,61,59,8.34,JP,1699919535
187,taroa,8.7058,171.2275,27.62,82,94,7.38,MH,1699919495
188,avarua,-21.2078,-159.775,24.03,64,75,5.66,CK,1699919538
189,cannonvale,-20.2833,148.7,26.66,57,20,4.44,AU,1699919398
190,kristiansund,63.1115,7.732,0.36,69,40,2.57,NO,1699919364
191,ulladulla,-35.35,150.4667,26.54,65,77,3.66,AU,1699919366
192,kot samaba,28.5522,70.4684,19.1,40,89,2.46,PK,1699919544
193,port lincoln,-34.7333,135.8667,16.32,72,97,4.76,AU,1699919545
194,stanley,54.868,-1.6985,8.77,87,20,7.72,GB,1699919547
195,trunovskoye,45.4878,42.1358,9.72,66,100,7.52,RU,1699919549
196,iskateley,67.6803,53.1512,-11.47,89,100,3.8,RU,1699919550
197,mustafabad,30.8922,73.4989,16.73,45,24,1.24,PK,1699919552
198,bel ombre,-4.6167,55.4167,27.91,83,40,2.06,SC,1699919553
199,margate,51.3813,1.3862,13.28,78,35,6.26,GB,1699919398
200,touros,-5.1989,-35.4608,26.68,79,72,5.23,BR,1699919300
201,aral,40.5156,81.2636,4.3,38,0,3.23,CN,1699919556
202,keflavik,64.0049,-22.5624,6.95,65,0,9.26,IS,1699919393
203,harnosand,62.6323,17.9379,-5.0,87,100,5.14,SE,1699919558
204,kashgar,39.4547,75.9797,5.56,42,0,3.0,CN,1699919559
205,praia da vitoria,38.7333,-27.0667,16.14,88,100,1.38,PT,1699919377
206,siquijor,9.2142,123.515,28.18,79,99,4.33,PH,1699919561
207,berezovyy,51.6667,135.7,-8.23,62,7,1.17,RU,1699919562
208,montana,43.4125,23.225,10.17,59,55,1.57,BG,1699919563
209,enewetak,11.3474,162.3373,28.39,80,93,8.67,MH,1699919563
210,labrador city,52.9463,-66.9114,-9.05,86,100,2.06,CA,1699919410
211,mapastepec,15.4333,-92.9,27.38,82,7,0.67,MX,1699919566
212,rong'an,26.1247,119.1214,12.74,81,99,0.83,CN,1699919567
213,beyneu,45.3167,55.2,8.16,42,33,8.61,KZ,1699919567
214,tosontsengel,48.7567,98.2839,-16.12,89,89,0.94,MN,1699919511
215,port alfred,-33.5906,26.891,14.54,94,96,0.45,ZA,1699919390
216,maxixe,-23.8597,35.3472,21.79,66,92,5.98,MZ,1699919570
217,ha tinh,18.3333,105.9,18.27,92,100,3.74,VN,1699919572
218,wailua homesteads,22.0669,-159.378,29.24,81,75,8.23,US,1699919573
219,mawu,29.5923,107.3139,9.1,86,98,0.66,CN,1699919279
220,horta,38.5333,-28.6333,15.57,91,100,1.79,PT,1699919574
221,salalah,17.0151,54.0924,27.05,89,40,1.03,OM,1699919479
222,bodaybo,57.8506,114.1933,-9.89,94,99,1.03,RU,1699919576
223,gao,16.6362,1.637,23.93,14,0,5.38,ML,1699919577
